term_ru,term_en,context,notes
Созидатель,Creator,Person building value in IWE,core term
Ступень мастерства,Mastery stage,cp-profile level 1-5,
Рабочий продукт,Work Product,WP abbreviation retained,
Скилл,Skill,Agent skill/capability,
Среда,Environment,IWE working environment,
Пак,Pack,Knowledge pack,
Конвейер,Pipeline,Automated pipeline,
Рубеж работы,Work milestone,Decision point in workflow,
Напарник,Peer partner,Peer agent in DP.SC.154,
Открытие,Opening,ORZ Opening phase,
Закрытие,Closing,ORZ Closing phase,
Рабочий ход,Work turn,Turn in peer session,
Аудит,Audit,Audit process,
Различение,Distinction,Key conceptual distinction,
Поток,Flow/Stream,Learning or work stream,
Форматирование,Formatting,Document formatting,
Ролевой префикс,Role prefix,Role activation prefix,
Блокирующее правило,Blocking rule,Mandatory rule,
Предметная область,Domain,DDD modeling and design,Core DDD term
Ограниченный контекст,Bounded Context,DDD strategic design,Core DDD term
Агрегат,Aggregate,DDD tactical patterns,Core DDD term
Репозиторий,Repository,DDD tactical patterns,Core DDD term
Фабрика,Factory,DDD tactical patterns / creational patterns,Can also be Abstract Factory
Сервис предметной области,Domain Service,DDD tactical patterns,Distinct from Application Service
Событие предметной области,Domain Event,DDD tactical patterns / event-driven,Core DDD term
Общий язык,Ubiquitous Language,DDD strategic design,Not Universal Language
Антикоррупционный слой,Anti-Corruption Layer,DDD integration patterns,Abbrev. ACL common
Карта контекстов,Context Map,DDD strategic design,Core DDD term
Системное мышление,Systems Thinking,Systems engineering / IWE,Discipline/methodology term
Целевая система,System of Interest,Systems engineering / IWE,Also Target System in some texts
Надсистема,Supersystem,Systems engineering / IWE,Also Wider System; uncertain mapping
Подсистема,Subsystem,Systems engineering decomposition,Standard universal term
Роль,Role,IWE / organizational modeling,Context-dependent term
Исполнитель роли,Role Performer,IWE / organizational modeling,Also Actor in some frameworks
Функциональное место,Functional Position,IWE / organizational design,uncertain
Метод,Method,Engineering practice / methodology,General term; context-dependent
Практика,Practice,Engineering methodology / IWE,Standard methodology term
Дисциплина,Discipline,Engineering methodology / IWE,Standard methodology term
Область знаний,Knowledge Domain,DDD bounded context and ontology design,"Also ""Body of Knowledge"" in standards"
Онтология,Ontology,formal knowledge representation model,Used in semantic/conceptual modeling
Концепция,Concept,conceptual modeling and domain design,"Not ""conception""; avoid ambiguity"
Артефакт,Artifact,systems engineering deliverable or output,"Also spelled ""artefact"" (British)"
Заинтересованная сторона,Stakeholder,requirements and systems engineering,Standard SE/BABOK term
Потребность,Need,stakeholder needs before requirements,"Distinct from ""requirement""; higher level"
Требование,Requirement,systems and software requirements,Core SE/SysML/INCOSE term
